DATE,AAPL,AMZN,CSCO,DELL,EBAY,GOOG,HPQ,IBM,INTC,MSFT,ORCL,YHOO,MARKET,CASH
730488,0.088805,0.174199,0.008775,-0.002353,0.128285,NaN,0.03244,0.075368,0.05698,-0.001627,0.054078,0.097784,-0.012143,0.000205218
730489,-0.084331,-0.08324,-0.05608,-0.08353,-0.093805,NaN,-0.075613,-0.033966,-0.046667,-0.033802,-0.0883,-0.067368,-0.03166,0.000203394
730490,0.014634,-0.148767,-0.003039,0.070984,0.066875,NaN,-0.006356,0.03516,0.008199,0.010567,-0.052837,-0.073363,0.011443,0.000203759
730491,-0.086538,-0.060072,-0.016619,-0.038847,-0.012302,NaN,-0.063688,-0.017241,-0.05824,-0.033477,-0.058824,-0.103069,0.011743,0.000202664
730492,0.047368,0.061013,0.0587,-0.037708,-0.000964,NaN,0.028416,-0.004386,0.04127,0.013091,0.076771,0.106087,0.02393,0.000201569
730495,-0.017588,-0.005319,0.037215,-0.044598,0.055659,NaN,0.069221,0.039648,0.045732,0.007268,0.119764,0.070743,0.004308,0.000203029
730496,-0.051151,-0.035265,-0.030143,-0.029912,-0.021511,NaN,-0.02251,0.008475,0.045948,-0.025657,-0.029201,-0.088703,-0.005281,0.000203394
730497,-0.059946,-0.04779,-0.025258,-0.023359,-0.063295,NaN,0.035096,0.004202,0.017393,-0.03255,-0.060069,-0.100206,0.003477,0.000204124
730498,0.109646,0.037445,0.022927,0.031571,0.056987,NaN,0.003382,-0.01046,-0.002082,0.018902,-0.005302,-0.029869,0.002713,0.000202664
730499,0.03814,-0.025629,0.012901,0.020172,-0.029025,NaN,-0.002217,0.011586,0.131781,0.041184,0.016657,0.017643,0.012134,0.000202664
730503,0.034847,-0.002023,0.041279,-0.044091,0.042523,NaN,0.009422,-0.032352,-0.009121,0.027261,0.041569,-0.033456,-0.013705,0.000208134
730504,0.025207,0.041953,0.002768,0.010461,0.030466,NaN,0.021486,0.032397,-0.020172,-0.072067,0.027056,0.066854,-0.006036,0.000206312
730505,0.065128,-0.030834,0.000534,0.029412,0.077426,NaN,0.001034,-0.004184,-0.044373,-0.009346,0.037108,-0.033132,0,0.000205218
730506,-0.019295,-0.041544,0.02563,0,-0.02828,NaN,-0.025835,0.021008,0.024263,-0.021226,0.007426,0,-0.020684,0.000204853
730509,-0.045459,0.129874,-0.053709,-0.050057,-0.093821,NaN,-0.001061,0,0.008883,-0.024096,-0.092143,-0.078508,-0.021645,0.00020777
730510,0.056471,-0.012407,0.028058,0.013715,0.008212,NaN,-0.003363,-0.019588,0.027831,0.015407,0.041521,0.065524,0.001973,0.000208499
730511,-0.018352,-0.064116,-0.043971,-0.041538,0.1168,NaN,-0.034363,-0.019896,-0.049823,-0.03346,-0.024451,-0.049196,0.000281,0.000208863
730512,-0.001724,0.032865,-0.005318,-0.069837,0.002475,NaN,-0.002299,-0.027837,0.016788,-0.006239,-0.059027,0.026844,-0.00045,0.000209228
