520, 1056, 1418, 1063, 986, 803, 672,,,,,,,,,,,,,,,,,,,,,
747, 470, 886, 1196, 680, 670,,,,,,,,,,,,,,,,,,,,,,
75, 917,,,,,,,,,,,,,,,,,,,,,,,,,,
647, 997, 1506, 391,,,,,,,,,,,,,,,,,,,,,,,,
706, 1189, 1299, 1382,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026, 1309, 460, 1448, 772,,,,,,,,,,,,,,,,,,,,,,,
1333, 1177, 501, 557,,,,,,,,,,,,,,,,,,,,,,,,
519, 603, 353, 1102, 413,,,,,,,,,,,,,,,,,,,,,,,
1239, 1456, 807, 52, 1173, 98, 208, 291,,,,,,,,,,,,,,,,,,,,
1064, 1121,,,,,,,,,,,,,,,,,,,,,,,,,,
1105, 1348, 1032, 422, 693,,,,,,,,,,,,,,,,,,,,,,,
1331, 1175, 499, 555,,,,,,,,,,,,,,,,,,,,,,,,
132, 121, 1297, 1301,,,,,,,,,,,,,,,,,,,,,,,,
293, 603, 87, 77, 573, 163, 978,,,,,,,,,,,,,,,,,,,,,
1146, 4, 314, 943, 1346, 963,,,,,,,,,,,,,,,,,,,,,,
342, 1451,,,,,,,,,,,,,,,,,,,,,,,,,,
1102, 1545, 629, 259,,,,,,,,,,,,,,,,,,,,,,,,
435, 757, 934, 818, 1167,,,,,,,,,,,,,,,,,,,,,,,
530, 1052, 630, 752, 1528, 759,,,,,,,,,,,,,,,,,,,,,,
529, 866, 683, 1232, 1143, 267, 922,,,,,,,,,,,,,,,,,,,,,
980, 492,,,,,,,,,,,,,,,,,,,,,,,,,,
887, 1342,,,,,,,,,,,,,,,,,,,,,,,,,,
1153, 1397, 1081, 471,,,,,,,,,,,,,,,,,,,,,,,,
682, 406, 822, 1132, 1494,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,
161, 204, 487, 1196, 1040, 364, 421, 1396,,,,,,,,,,,,,,,,,,,,
309, 565, 941, 225, 814, 192,,,,,,,,,,,,,,,,,,,,,,
1413, 1323, 448, 1103, 281,,,,,,,,,,,,,,,,,,,,,,,
1241, 991, 182, 1052, 415, 1497,,,,,,,,,,,,,,,,,,,,,,
716, 1053, 870, 1419, 916, 40, 1109, 1432,,,,,,,,,,,,,,,,,,,,
1248, 333, 377, 660, 955,,,,,,,,,,,,,,,,,,,,,,,
1288, 1132, 456, 926, 1487,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342, 54, 71,,,,,,,,,,,,,,,,,,,,,,,,,
1004, 821, 1370, 1281, 405, 1474,,,,,,,,,,,,,,,,,,,,,,
322, 778, 555, 79, 1094, 1165,,,,,,,,,,,,,,,,,,,,,,
1484, 1035, 1238, 1455, 392, 1195, 1172,,,,,,,,,,,,,,,,,,,,,
685, 142, 212, 828, 125, 262,,,,,,,,,,,,,,,,,,,,,,
991, 581, 1397, 1387, 205, 634, 78,,,,,,,,,,,,,,,,,,,,,
3, 1218, 707, 258, 48, 264,,,,,,,,,,,,,,,,,,,,,,
521, 1282,,,,,,,,,,,,,,,,,,,,,,,,,,
999, 910, 34,,,,,,,,,,,,,,,,,,,,,,,,,
333, 221, 437, 1346, 591,,,,,,,,,,,,,,,,,,,,,,,
87, 703, 414,,,,,,,,,,,,,,,,,,,,,,,,,
1510, 1007, 131, 1201, 1523,,,,,,,,,,,,,,,,,,,,,,,
32, 475, 1118, 1161, 1444, 279, 123, 1005,,,,,,,,,,,,,,,,,,,,
719, 469, 1218, 115,,,,,,,,,,,,,,,,,,,,,,,,
1557, 188, 764, 1008,,,,,,,,,,,,,,,,,,,,,,,,
517, 787, 804, 754, 904, 455,,,,,,,,,,,,,,,,,,,,,,
1352, 1302, 1451, 1002, 792, 1008, 359,,,,,,,,,,,,,,,,,,,,,
539, 157,,,,,,,,,,,,,,,,,,,,,,,,,,
931, 615, 5, 275,,,,,,,,,,,,,,,,,,,,,,,,
724, 753,,,,,,,,,,,,,,,,,,,,,,,,,,
93, 1374, 233,,,,,,,,,,,,,,,,,,,,,,,,,
1026, 1388, 1032,,,,,,,,,,,,,,,,,,,,,,,,,
1386, 750, 273,,,,,,,,,,,,,,,,,,,,,,,,,
1174, 86,,,,,,,,,,,,,,,,,,,,,,,,,,
869, 220, 609, 586,,,,,,,,,,,,,,,,,,,,,,,,
109, 698, 76, 798, 1334,,,,,,,,,,,,,,,,,,,,,,,
869, 1364, 609, 586,,,,,,,,,,,,,,,,,,,,,,,,
872, 117, 1238, 163, 273, 356, 106, 855,,,,,,,,,,,,,,,,,,,,
1345, 669, 1139,,,,,,,,,,,,,,,,,,,,,,,,,
1440, 964, 835,,,,,,,,,,,,,,,,,,,,,,,,,
682, 1285,,,,,,,,,,,,,,,,,,,,,,,,,,
414, 657,,,,,,,,,,,,,,,,,,,,,,,,,,
